Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;140;FURTO QUALIFICADO;NOVO MUNDO;2;COMERCIO
2018;141;FURTO QUALIFICADO;NOVO MUNDO;18;RESIDENCIA
2018;142;ROUBO;NOVO MUNDO;8;PUBLICO
2018;143;FURTO QUALIFICADO;NOVO MUNDO;10;PUBLICO
2018;144;FURTO QUALIFICADO;GANCHINHO;13;RESIDENCIA
2018;145;FURTO QUALIFICADO;BOQUEIRAO;10;RESIDENCIA
2018;146;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;BAIRRO ALTO;9;PUBLICO
2018;147;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;BAIRRO ALTO;9;RESIDENCIA
2018;148;ROUBO;SITIO CERCADO;22;PUBLICO
2018;149;ROUBO;TATUQUARA;20;RESIDENCIA
2018;150;ROUBO;CAMPO DE SANTANA;15;PUBLICO
2018;151;FURTO QUALIFICADO;BARREIRINHA;21;RESIDENCIA
2018;152;FURTO QUALIFICADO;BOQUEIRAO;2;RESIDENCIA
2018;153;ROUBO;SITIO CERCADO;11;PUBLICO
2018;154;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CENTRO;10;HOSPEDAGEM
2018;155;ROUBO;TATUQUARA;0;PUBLICO
2018;156;FURTO QUALIFICADO;HAUER;11;PUBLICO
2018;157;ROUBO;CAPAO RASO;19;PUBLICO
2018;158;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CENTRO;10;HOSPEDAGEM
2018;159;ROUBO;SEMINARIO;11;SAUDE
2018;160;FURTO SIMPLES;PORTAO;14;COMERCIO
2018;161;FURTO SIMPLES;PORTAO;14;PUBLICO
2018;162;LESAO CORPORAL;PORTAO;15;PUBLICO
2018;163;FURTO QUALIFICADO;AHU;15;PUBLICO
2018;164;FURTO QUALIFICADO;AHU;15;RESIDENCIA
2018;165;LESAO CORPORAL;CENTRO;18;PUBLICO
2018;166;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CAPAO RASO;20;PUBLICO
2018;167;ROUBO;CIDADE INDUSTRIAL;15;COMERCIO
2018;168;ROUBO;CIDADE INDUSTRIAL;15;RESIDENCIA
2018;169;ROUBO;CENTRO;3;PUBLICO
2018;170;ROUBO;CENTRO;6;ATIVIDADE FINANCEIRA
2018;171;ROUBO;JARDIM BOTANICO;22;PUBLICO
2018;172;ROUBO;GUABIROTUBA;11;PUBLICO
2018;173;ROUBO;CRISTO REI;8;PUBLICO
2018;174;FURTO QUALIFICADO;CENTRO;7;ALIMENTACAO / DIVERSAO
2018;175;FURTO SIMPLES;JARDIM BOTANICO;8;TRANSPORTE
2018;176;FURTO SIMPLES;JARDIM BOTANICO;0;RESIDENCIA
2018;177;ROUBO;TATUQUARA;11;MERCADO
2018;178;ROUBO;TATUQUARA;15;COMERCIO
2018;179;FURTO SIMPLES;JARDIM BOTANICO;10;TRANSPORTE
2018;180;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PAROLIN;10;PUBLICO
2018;181;FURTO SIMPLES;PINHEIRINHO;11;COMERCIO
2018;182;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CIDADE INDUSTRIAL;10;DERIVADO PETROLEO
2018;183;FURTO SIMPLES;JARDIM BOTANICO;15;PUBLICO
2018;184;ROUBO;FAZENDINHA;16;PUBLICO
