id;crime;bairro;hora;local
812;FURTO QUALIFICADO;FANNY;12;TRANSPORTE
813;FURTO QUALIFICADO;FANNY;12;VEICULO
814;ROUBO;CENTRO;10;SAUDE
815;ROUBO;SANTA QUITERIA;14;PUBLICO
816;FURTO SIMPLES;NOVO MUNDO;16;OUTROS
817;ROUBO;CENTRO;10;SAUDE
821;ROUBO;CENTRO;10;SAUDE
823;ROUBO;SANTA QUITERIA;7;PUBLICO
824;ROUBO;SANTA QUITERIA;7;TRANSPORTE
825;FURTO SIMPLES;CENTRO;14;COMERCIO
832;ROUBO;CENTRO;19;COMERCIO
833;FURTO QUALIFICADO;CENTRO;18;RESIDENCIA
834;ROUBO;CENTRO;9;SAUDE
835;ROUBO;BOQUEIRAO;21;PUBLICO
836;FURTO SIMPLES;PAROLIN;9;COMERCIO
839;ROUBO;CENTRO;12;SAUDE
840;FURTO QUALIFICADO;CENTRO;4;COMERCIO
841;ROUBO;HAUER;22;PUBLICO
842;FURTO QUALIFICADO;SITIO CERCADO;21;RESIDENCIA
843;FURTO QUALIFICADO;CENTRO;22;PUBLICO
844;FURTO QUALIFICADO;GANCHINHO;13;RESIDENCIA
845;FURTO SIMPLES;ALTO BOQUEIRAO;8;PUBLICO
848;ROUBO;ALTO BOQUEIRAO;10;PUBLICO
849;ROUBO;CENTRO;8;SAUDE
850;ROUBO;HAUER;17;SAUDE
852;FURTO QUALIFICADO;XAXIM;21;COMERCIO
853;ROUBO;TATUQUARA;11;RESIDENCIA
854;FURTO QUALIFICADO;PINHEIRINHO;10;TRANSPORTE
855;ROUBO;UMBARA;10;RESIDENCIA
856;FURTO SIMPLES;CENTRO;11;PUBLICO
858;FURTO QUALIFICADO;BATEL;3;ALIMENTACAO / DIVERSAO
861;FURTO QUALIFICADO;CAMPO DE SANTANA;12;RESIDENCIA
862;ROUBO;CENTRO;18;SAUDE
868;ROUBO;TATUQUARA;12;PUBLICO
869;ROUBO;TATUQUARA;12;RESIDENCIA
875;ROUBO;CIDADE INDUSTRIAL;12;PUBLICO
876;ROUBO;CAPAO RASO;18;SAUDE
878;ROUBO;PINHEIRINHO;13;PUBLICO
882;ROUBO;PINHEIRINHO;11;PUBLICO
883;FURTO SIMPLES;CABRAL;13;TRANSPORTE
884;ROUBO;PINHEIRINHO;8;MERCADO
887;ROUBO;XAXIM;14;COMERCIO
895;FURTO QUALIFICADO;CENTRO;16;PUBLICO
896;FURTO QUALIFICADO;BUTIATUVINHA;4;RESIDENCIA
900;ROUBO;AGUA VERDE;15;PUBLICO
902;FURTO SIMPLES;JUVEVE;18;PUBLICO
903;ROUBO;JARDIM DAS AMERICAS;19;PUBLICO
907;FURTO SIMPLES;PINHEIRINHO;10;TRANSPORTE
908;FURTO SIMPLES;CENTRO;16;COMERCIO
914;ROUBO;PRADO VELHO;19;PUBLICO
929;FURTO QUALIFICADO;UBERABA;19;PUBLICO
933;FURTO QUALIFICADO;CAJURU;17;RESIDENCIA
936;FURTO QUALIFICADO;CIDADE INDUSTRIAL;3;OUTROS
941;ROUBO;PORTAO;13;RESIDENCIA
943;FURTO SIMPLES;GUABIROTUBA;19;RESIDENCIA
944;ROUBO;PINHEIRINHO;12;COMERCIO
949;FURTO SIMPLES;CAPAO DA IMBUIA;21;MERCADO
950;ROUBO;JARDIM SOCIAL;13;PUBLICO
951;ROUBO;GUAIRA;15;ALIMENTACAO / DIVERSAO
952;ROUBO;XAXIM;7;PUBLICO
960;ROUBO;GUAIRA;8;TRANSPORTE
961;ROUBO;BIGORRILHO;10;PUBLICO
962;ROUBO;CAJURU;2;PUBLICO
